,target,period,prices_old_alt,prices_alt,fprices_alt
291,Spain,2002,100.479410519681,100.049975012494,98.9538036630652
292,Spain,2003,99.7446529747601,100.04995004995,99.2687481533572
293,Spain,2004,101.836221900291,100.049925112332,102.096923356944
294,Spain,2005,104.097343747471,100.049900199601,102.22035127088
295,Spain,2006,104.441762410492,100.049875311721,100.330862105239
296,Spain,2007,102.512134968419,100.049850448654,98.1524369203113
297,Spain,2008,102.659513456547,100.049825610364,100.143766870306
298,Spain,2009,97.281624014013,100.049800796813,94.7614310048231
299,Spain,2010,103.506774882886,100.049776007964,106.399102535518
300,Spain,2011,104.330812081996,100.049751243781,100.79611909466
301,Spain,2012,102.275061173276,100.049726504227,98.0295841010946
302,Spain,2013,99.3493477597077,100.049701789264,97.1393677207281
303,Spain,2014,98.3036594511719,100.049677098857,98.9474633380936
304,Spain,2015,100.512163144717,100.049652432969,102.246613916385
305,Spain,2016,98.8347882,100.049627791563,98.3311721763441
306,Spain,2017,102.567308380188,100.049603174603,103.776524691524
307,Spain,2018,101.841756942748,100.049578582053,99.2926094591943
308,Spain,2019,100.533008237475,100.049554013875,98.7149193566949
