ect_x,tech,reporter,year,ect_m
-11.6848110682854,RES,Finland,2001,-6.24380184419066
-11.6834618979292,RES,Finland,2016,-6.14430959084653
-11.6802148921144,RES,Finland,2003,-6.27156709636607
-11.6773852725057,RES,Finland,2017,-6.14292512052965
-11.6631877935081,RES,Finland,2005,-6.26860444665615
-11.6543898393386,LOW,Finland,1998,-4.01474587497449
-11.6511827348284,RES,Finland,2015,-6.15313947953146
-11.6493623045676,RES,Finland,2019,-6.12863541454139
-11.6351982994984,RES,Finland,2018,-6.16218432002648
-11.6317069990052,RES,Finland,2010,-6.21972230502051
-11.6264829238625,RES,Finland,2006,-6.21626349185474
-11.6183073691123,LOW,Finland,1999,-4.01417681473461
-11.6153502786383,RES,Finland,2012,-6.20896685776469
-11.6092028932544,RES,Finland,2011,-6.21996084330901
-11.6046176576504,RES,Finland,2013,-6.17025669071981
-11.6021783885856,RES,Finland,2014,-6.1512831630405
-11.5827211679306,RES,Finland,2007,-6.22970056571586
-11.5595004468629,LOW,Finland,2000,-4.03735138796148
-11.5424683137948,RES,Finland,2008,-6.25952264038289
-11.4961213818492,LOW,Finland,2004,-3.98311965116171
-11.4894785860138,LOW,Finland,2002,-4.00952808886804
-11.4822997066581,RES,Finland,2009,-6.19816003626643
-11.47312728093,LOW,Finland,2001,-3.98410307883218
-11.4678983572673,LOW,Finland,2016,-3.80644893246681
-11.4678234999142,LOW,Finland,2003,-3.9932251164655
-11.4613889797876,LOW,Finland,2017,-3.79295672407133
-11.4500330881372,LOW,Finland,2005,-3.96450499528189
-11.4361067816536,LOW,Finland,2015,-3.81764645750106
-11.4324034293161,LOW,Finland,2019,-3.75999540502349
-11.4186312953447,LOW,Finland,2018,-3.79849311551942
-11.4178148731507,LOW,Finland,2010,-3.89721294424121
-11.4129177004331,LOW,Finland,2006,-3.90019057195663
-11.4005999054808,LOW,Finland,2012,-3.86177612820119
-11.394805992194,LOW,Finland,2011,-3.88375597414764
-11.3899804900515,LOW,Finland,2013,-3.82921185003201
-11.3874971405088,LOW,Finland,2014,-3.81419373523569
-11.368484225499,LOW,Finland,2007,-3.89638555900361
-11.3463422300736,PRIM,Greece,1994,-3.92435281587407
-11.3276141511134,LOW,Finland,2008,-3.90365867163709
-11.3242841512129,PRIM,Greece,1996,-3.88215957867949
-11.3231916933655,PRIM,Greece,1993,-3.95380704761326
-11.317364620689,PRIM,Greece,1995,-3.93796420133389
-11.3110105577347,PRIM,Greece,1997,-3.82801199440247
-11.2673949386321,LOW,Finland,2009,-3.83888584623009
-11.2415566336981,MED,Spain,1993,-6.4465796472048
-11.163283490681,MED,Spain,1994,-6.48242374035718
-11.1506743661869,PRIM,Greece,1999,-3.69815828619216
-11.1485570583481,PRIM,Greece,1998,-3.81009137832248
-11.0568076204607,MED,Spain,1995,-6.41457332853115
-11.007228644888,MED,Spain,1996,-6.35640668186152
-10.9981724038148,LOW,France,1993,-11.7640502325072
-10.9915389678283,LOW,France,1994,-11.7829592660304
-10.9830970860822,PRIM,Greece,2004,-3.62617361257313
-10.9778995065563,PRIM,Greece,2000,-3.60639668158151
-10.9722356076336,LOW,Greece,1994,-2.91564771024095
-10.9641766494641,LOW,France,1995,-11.7529211477237
-10.9596648740387,PRIM,Greece,2003,-3.61649323279257
-10.9490021266083,LOW,Greece,1993,-2.94183809990836
-10.9481105253284,LOW,Greece,1996,-2.86523794545897
-10.9421477106183,LOW,Greece,1995,-2.92524997564895
-10.9412678661411,MED,Spain,1997,-6.33108043696351
-10.934134441297,LOW,Greece,1997,-2.8053768797548
-10.9231946684125,LOW,France,1996,-11.7294730234286
-10.9144836398869,LOW,France,1997,-11.7383415373256
-10.8955159788194,PRIM,Greece,2012,-3.55763455424263
-10.8846688804022,PRIM,Greece,2010,-3.65679522194106
-10.8742970392372,PRIM,Greece,2011,-3.61067812444212
-10.8696027690372,PRIM,Greece,2013,-3.50861620376912
-10.8678203215129,PRIM,Greece,2002,-3.52622991206636
-10.8571730827893,MED,Spain,1998,-6.27242649034881
-10.8552246429252,PRIM,Greece,2014,-3.50736471640482
-10.8481530126497,LOW,France,1998,-11.7159787178414
-10.84801671885,PRIM,Greece,2005,-3.65394837253228
-10.8439677223436,PRIM,Greece,2006,-3.65403469544223
-10.8406188647028,LOW,France,2010,-11.6954413971652
-10.8388733943698,PRIM,Greece,2007,-3.60815537192829
-10.8370902027593,PRIM,Greece,2001,-3.47787052264085
-10.829156066574,MED,Spain,1999,-6.21502224013215
-10.8221000396592,PRIM,Greece,2017,-3.34215257695266
-10.8196713735254,LOW,France,2000,-11.6985545205288
-10.8167157126167,LOW,France,1999,-11.6865476273451
-10.8145349856397,LOW,France,2008,-11.6727376931835
-10.8143425244808,LOW,France,2009,-11.6658651471223
-10.8077006880697,LOW,France,2004,-11.6867598531151
