ect_x,tech,reporter,year,ect_m
-16.5596440072168,LOW,Spain,1998,-11.0296720121989
-16.5554757949964,LOW,Spain,2004,-11.1258542449148
-16.5544136127764,LOW,Spain,2001,-11.1002291105147
-16.5531106625701,LOW,Spain,2019,-11.3585907391444
-16.5527201904823,LOW,Spain,1999,-11.0085787757646
-16.5467671576802,LOW,Spain,2003,-11.1430518986846
-16.5455996116403,LOW,Spain,2000,-11.0419708416354
-16.5415929362687,LOW,Spain,2018,-11.3234073278293
-16.5340157282662,LOW,Spain,2012,-11.275921608092
-16.525623519715,LOW,Spain,2009,-11.3725775267539
-16.5167766682333,LOW,Spain,2017,-11.3067407535072
-16.5158467770395,LOW,Spain,2015,-11.2539434553695
-16.5098649012585,LOW,Spain,2016,-11.3008275678265
-16.5044069125979,LOW,Spain,2014,-11.211567495161
-16.5027896172788,LOW,Spain,2013,-11.2435435534157
-16.4736719950446,LOW,Spain,2011,-11.3023082436953
-16.3718362228123,PRIM,Spain,1994,-3.10559959676575
-16.2457314361821,PRIM,Spain,1995,-3.01927845433114
-16.185441398006,PRIM,Spain,2008,-2.52883390490914
-16.170807825612,PRIM,Spain,1996,-2.97265997911228
-16.1497593269274,PRIM,Spain,2009,-2.50792525689364
-16.0728545367148,PRIM,Spain,2010,-2.62500836828112
-15.9270060807577,PRIM,Spain,2007,-2.43739586502429
-15.9102224226822,PRIM,Spain,1997,-2.86767638921139
-15.9034532381292,PRIM,Spain,2006,-2.47643816799685
-15.8905531010735,PRIM,Spain,1998,-2.77831983112737
-15.8317248222337,PRIM,Spain,2005,-2.50897300721093
-15.7979365910877,PRIM,Spain,1999,-2.68462342212656
-15.7841158287959,PRIM,Spain,2011,-2.42795650842188
-15.7714676536046,PRIM,Spain,2004,-2.53814030268551
-15.717376911791,PRIM,Spain,2003,-2.59426213783825
-15.6923890292606,PRIM,Spain,2000,-2.63491344173166
-15.6914610824784,PRIM,Spain,2002,-2.62219643119026
-15.6611170658185,PRIM,Spain,2001,-2.63146215237909
-15.5680932188111,PRIM,Spain,2012,-2.61486322507781
-15.4381552382456,PRIM,Spain,2013,-2.59617546069463
-15.3274678925594,PRIM,Spain,2014,-2.53480820801387
-15.1834681699627,PRIM,Spain,2015,-2.50492338488017
-15.1137666476662,PRIM,Spain,2019,-2.45438150496714
-15.1072657473593,PRIM,Spain,2016,-2.50079534707134
-15.077662769681,PRIM,Spain,2017,-2.46224942213625
-15.0474725127614,PRIM,Spain,2018,-2.44107818563883
-14.1480549462948,PRIM,France,1993,-3.67540860481667
