reporter,year,tech,tech_exports,xsum,xqt,xprices,tech_imports,msum,mqt,mprices,income,consump,imports,fprices,xrate,prices,rprices,old_rprices,exports,inst_income,fincome_alt,fincome,fincome_alt3,fincome_alt2,investment,sum_tech_exports,sum_tech_imports,share_tech_exports,share_tech_imports
Spain,1993,HIGH,19.3809578038386,5907585767,261242017,7.72371546739358,19.9915677185636,10865099936,481091346,7.72242411601214,6.52310698958648,6.30558289401467,4.7449216935262,74.9791023,1.171,71.0674103,4.66618542138746,4.58499550991035,4.71552033270701,6.54960782911201,11.93986402599,9.08260585921597,11.9444361994719,8.80895493069896,4.87634780617991,64867593576,92398995837,0.0910714494145458,0.117588939550458
Spain,1993,LOW,22.6144894184126,9975797263,6627472975,5.01410849021918,22.2342291252393,10686393589,4531093442,5.46317820276283,6.52310698958648,6.30558289401467,4.7449216935262,74.9791023,1.171,71.0674103,4.66618542138746,4.58499550991035,4.71552033270701,6.54960782911201,11.93986402599,9.08260585921597,11.9444361994719,8.80895493069896,4.87634780617991,64867593576,92398995837,0.153787071680286,0.115654867157342
Spain,1993,MED,22.7305755470046,24844893366,7443265844,5.81051270900474,22.842029521371,27533211773,8320843937,5.80179947838842,6.52310698958648,6.30558289401467,4.7449216935262,74.9791023,1.171,71.0674103,4.66618542138746,4.58499550991035,4.71552033270701,6.54960782911201,11.93986402599,9.08260585921597,11.9444361994719,8.80895493069896,4.87634780617991,64867593576,92398995837,0.383009327097841,0.297981720727474
Spain,1993,PRIM,22.6737158541877,12182536576,7031851323,5.15472366681726,25.0571483669439,27832106549,76239715675,3.59747792212414,6.52310698958648,6.30558289401467,4.7449216935262,74.9791023,1.171,71.0674103,4.66618542138746,4.58499550991035,4.71552033270701,6.54960782911201,11.93986402599,9.08260585921597,11.9444361994719,8.80895493069896,4.87634780617991,64867593576,92398995837,0.187806204984724,0.30121654783022
Spain,1993,RES,24.0873532327184,11956780604,28907104512,3.72238132223553,24.4113571557133,15482183990,39968487006,3.65676881005665,6.52310698958648,6.30558289401467,4.7449216935262,74.9791023,1.171,71.0674103,4.66618542138746,4.58499550991035,4.71552033270701,6.54960782911201,11.93986402599,9.08260585921597,11.9444361994719,8.80895493069896,4.87634780617991,64867593576,92398995837,0.184325946822603,0.167557924734506
Spain,1994,HIGH,19.7019059497427,7270684428,360104905,7.61038050446004,20.0713175558691,12416070448,521029675,7.77611010445922,6.54665771250702,6.31510769895152,4.85330679256013,74.4419413,1.18952,69.7228452,4.61361481651652,4.57265035481407,4.86969979670804,6.55906678699432,11.9493993678013,9.10989210477936,11.9541013065307,8.83297703428025,4.91046941108984,78029388838,108038579137,0.0931787950190788,0.114922563284136
Spain,1994,LOW,22.7206823443681,12007690187,7369991165,5.09330097201509,22.4327570531305,12637507219,5526149147,5.43234812538687,6.54665771250702,6.31510769895152,4.85330679256013,74.4419413,1.18952,69.7228452,4.61361481651652,4.57265035481407,4.86969979670804,6.55906678699432,11.9493993678013,9.10989210477936,11.9541013065307,8.83297703428025,4.91046941108984,78029388838,108038579137,0.153886764535983,0.116972171607096
Spain,1994,MED,22.8686230566728,30295150972,8545093168,5.87080063204286,23.030438486294,32325329285,10045980953,5.77384864794417,6.54665771250702,6.31510769895152,4.85330679256013,74.4419413,1.18952,69.7228452,4.61361481651652,4.57265035481407,4.86969979670804,6.55906678699432,11.9493993678013,9.10989210477936,11.9541013065307,8.83297703428025,4.91046941108984,78029388838,108038579137,0.388253085448317,0.299201725376352
Spain,1994,PRIM,22.7904220488011,14466163381,7902318614,5.20982633663473,25.1073493021184,31978796082,80164715778,3.68615978154701,6.54665771250702,6.31510769895152,4.85330679256013,74.4419413,1.18952,69.7228452,4.61361481651652,4.57265035481407,4.86969979670804,6.55906678699432,11.9493993678013,9.10989210477936,11.9541013065307,8.83297703428025,4.91046941108984,78029388838,108038579137,0.185393780425908,0.295994230370697
Spain,1994,RES,24.1257946670376,13989699870,30039970056,3.84096269116334,24.4012050233501,18680876103,39564774375,3.85473133187418,6.54665771250702,6.31510769895152,4.85330679256013,74.4419413,1.18952,69.7228452,4.61361481651652,4.57265035481407,4.86969979670804,6.55906678699432,11.9493993678013,9.10989210477936,11.9541013065307,8.83297703428025,4.91046941108984,78029388838,108038579137,0.179287574570712,0.172909309361718
